DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
2023,837,,,8,,,0.61,105,5860,7.41,,52.2,65,39.5
2022,763,,,2,,,0.63,109,5916,7.35,,50.1,63.4,36.9
2021,1027,,,9,,,0.64,113,5344,6.13,,53,66.3,39.7
2020,690,,,4,,,0.66,105,5614,4.7,,52.4,66.5,38.3
2019,600,,,-8,,,0.59,102,6043,8.55,,49.4,61.9,37
2018,655,0,0,11,0,0.4,0.34,105,5019,5.08,1.1,52.6,66.2,39
2017,1031,52,8,-4,11,6,0.56,103,5723,10.39,30.8,51.9,64.7,39
2016,745,50,8,-4,11,4.5,0.57,104,4720,10.02,19.9,53.9,67.1,40.8
2015,1062,17,4,2,9,5.5,1.05,108,4567,8.99,17.5,55.1,69,41.1
2014,843,9,4,-4,10,12.8,0.57,107,5659,6.54,19.9,53,66.2,39.8
2013,944,8,1,-2,6,1.1,0.95,106,5254,5.5,1.1,52.2,66.1,38.2
2012,646,34,8,6,12,6.2,0.58,104,5876,9.68,34,51.5,65.1,37.9
2011,468,19,3,4,4,2.3,1.06,99,6098,7.35,9.7,49.4,63.5,35.3
2010,456,44,9,-10,6,5.9,0.65,101,5978,11.17,23.1,50.7,63.3,38.1
2009,658,14,8,-4,8,5.5,0.61,104,6213,6.99,21.9,49.4,62.8,35.9
2008,461,36,8,-4,6,3.8,0.43,103,6316,5.06,21.8,48.9,62.7,35.1
2007,563,15,6,5,6,5.6,0.73,103,6122,5.69,19.7,49.8,63.4,36.2
2006,610,25,4,3,4,3.7,0.97,109,6065,9.59,13.1,50.2,64,36.3
2005,466,34,9,3,6,3,0.58,101,5634,8.58,15.6,49.7,63.4,36.2
2004,605,32,10,-14,11,5.8,0.51,101,5826,8.28,26.9,51,64.4,37.7
2003,693,14,6,3,3,3,0.64,104,5562,7.17,14.4,51.6,65.2,38
2002,484,4,4,4,2,3.2,0.93,105,5774,7.86,11.2,50,63.9,36.1
2001,545,,9,15,,11.1,0.98,101,6363,6.76,29.8,50.5,63.5,37.4
2000,415,,12,6,,5.1,0.5,101,5747,6.44,31.8,49,61.8,36.1
